Sentence,Groups,PatternType
a classmate of her scared my friend .,NS,Affirmatives
a classmate of her endangered him .,NS,Affirmatives
a classmate of her endangered john .,NS,Affirmatives
a classmate of her endangered my friend .,NS,Affirmatives
a classmate of her ruined him .,NS,Affirmatives
a classmate of her ruined john .,NS,Affirmatives
a classmate of her ruined my friend .,NS,Affirmatives
a classmate of her betrayed him .,NS,Affirmatives
a classmate of her betrayed john .,NS,Affirmatives
a classmate of her betrayed my friend .,NS,Affirmatives
a classmate of her looked at him .,NS,Affirmatives
a classmate of her looked at john .,NS,Affirmatives
a classmate of her looked at my friend .,NS,Affirmatives
a classmate of mary scared him .,NS,Affirmatives
a classmate of mary scared john .,NS,Affirmatives
a classmate of mary scared my friend .,NS,Affirmatives
a classmate of mary endangered him .,NS,Affirmatives
a classmate of mary endangered john .,NS,Affirmatives
a classmate of mary endangered my friend .,NS,Affirmatives
a classmate of mary ruined him .,NS,Affirmatives
a classmate of mary ruined john .,NS,Affirmatives
a classmate of mary ruined my friend .,NS,Affirmatives
a classmate of mary betrayed him .,NS,Affirmatives
a classmate of mary betrayed john .,NS,Affirmatives
a classmate of mary betrayed my friend .,NS,Affirmatives
a classmate of mary looked at him .,NS,Affirmatives
a classmate of mary looked at john .,NS,Affirmatives
a classmate of mary looked at my friend .,NS,Affirmatives
a classmate of my sister scared him .,NS,Affirmatives
a classmate of my sister scared john .,NS,Affirmatives
a classmate of my sister scared my friend .,NS,Affirmatives
a classmate of my sister endangered him .,NS,Affirmatives
a classmate of my sister endangered john .,NS,Affirmatives
a classmate of my sister endangered my friend .,NS,Affirmatives
a classmate of my sister ruined him .,NS,Affirmatives
a classmate of my sister ruined john .,NS,Affirmatives
a classmate of my sister ruined my friend .,NS,Affirmatives
a classmate of my sister betrayed him .,NS,Affirmatives
a classmate of my sister betrayed john .,NS,Affirmatives
a classmate of my sister betrayed my friend .,NS,Affirmatives
a classmate of my sister looked at him .,NS,Affirmatives
a classmate of my sister looked at john .,NS,Affirmatives
a classmate of my sister looked at my friend .,NS,Affirmatives
the sister of her scared him .,NS,Affirmatives
the sister of her scared john .,NS,Affirmatives
the sister of her scared my friend .,NS,Affirmatives
the sister of her endangered him .,NS,Affirmatives
the sister of her endangered john .,NS,Affirmatives
the sister of her endangered my friend .,NS,Affirmatives
the sister of her ruined him .,NS,Affirmatives
the sister of her ruined john .,NS,Affirmatives
the sister of her ruined my friend .,NS,Affirmatives
the sister of her betrayed him .,NS,Affirmatives
the sister of her betrayed john .,NS,Affirmatives
the sister of her betrayed my friend .,NS,Affirmatives
the sister of her looked at him .,NS,Affirmatives
the sister of her looked at john .,NS,Affirmatives
the sister of her looked at my friend .,NS,Affirmatives
the sister of mary scared him .,NS,Affirmatives
the sister of mary scared john .,NS,Affirmatives
the sister of mary scared my friend .,NS,Affirmatives
the sister of mary endangered him .,NS,Affirmatives
the sister of mary endangered john .,NS,Affirmatives
the sister of mary endangered my friend .,NS,Affirmatives
the sister of mary ruined him .,NS,Affirmatives
the sister of mary ruined john .,NS,Affirmatives
the sister of mary ruined my friend .,NS,Affirmatives
the sister of mary betrayed him .,NS,Affirmatives
the sister of mary betrayed john .,NS,Affirmatives
the sister of mary betrayed my friend .,NS,Affirmatives
the sister of mary looked at him .,NS,Affirmatives
the sister of mary looked at john .,NS,Affirmatives
the sister of mary looked at my friend .,NS,Affirmatives
the sister of my sister scared him .,NS,Affirmatives
the sister of my sister scared john .,NS,Affirmatives
the sister of my sister scared my friend .,NS,Affirmatives
the sister of my sister endangered him .,NS,Affirmatives
the sister of my sister endangered john .,NS,Affirmatives
the sister of my sister endangered my friend .,NS,Affirmatives
the sister of my sister ruined him .,NS,Affirmatives
the sister of my sister ruined john .,NS,Affirmatives
the sister of my sister ruined my friend .,NS,Affirmatives
the sister of my sister betrayed him .,NS,Affirmatives
the sister of my sister betrayed john .,NS,Affirmatives
the sister of my sister betrayed my friend .,NS,Affirmatives
the sister of my sister looked at him .,NS,Affirmatives
the sister of my sister looked at john .,NS,Affirmatives
the sister of my sister looked at my friend .,NS,Affirmatives
a portrait of her scared him .,NS,Affirmatives
a portrait of her scared john .,NS,Affirmatives
a portrait of her scared my friend .,NS,Affirmatives
a portrait of her endangered him .,NS,Affirmatives
a portrait of her endangered john .,NS,Affirmatives
a portrait of her endangered my friend .,NS,Affirmatives
a portrait of her ruined him .,NS,Affirmatives
a portrait of her ruined john .,NS,Affirmatives
a portrait of her ruined my friend .,NS,Affirmatives
a portrait of her betrayed him .,NS,Affirmatives
a portrait of her betrayed john .,NS,Affirmatives
a portrait of her betrayed my friend .,NS,Affirmatives
a portrait of her looked at him .,NS,Affirmatives
a portrait of her looked at john .,NS,Affirmatives
a portrait of her looked at my friend .,NS,Affirmatives
a portrait of mary scared him .,NS,Affirmatives
a portrait of mary scared john .,NS,Affirmatives
a portrait of mary scared my friend .,NS,Affirmatives
a portrait of mary endangered him .,NS,Affirmatives
a portrait of mary endangered john .,NS,Affirmatives
a portrait of mary endangered my friend .,NS,Affirmatives
a portrait of mary ruined him .,NS,Affirmatives
a portrait of mary ruined john .,NS,Affirmatives
a portrait of mary ruined my friend .,NS,Affirmatives
a portrait of mary betrayed him .,NS,Affirmatives
a portrait of mary betrayed john .,NS,Affirmatives
a portrait of mary betrayed my friend .,NS,Affirmatives
a portrait of mary looked at him .,NS,Affirmatives
a portrait of mary looked at john .,NS,Affirmatives
a portrait of mary looked at my friend .,NS,Affirmatives
a portrait of my sister scared him .,NS,Affirmatives
a portrait of my sister scared john .,NS,Affirmatives
a portrait of my sister scared my friend .,NS,Affirmatives
a portrait of my sister endangered him .,NS,Affirmatives
a portrait of my sister endangered john .,NS,Affirmatives
a portrait of my sister endangered my friend .,NS,Affirmatives
a portrait of my sister ruined him .,NS,Affirmatives
a portrait of my sister ruined john .,NS,Affirmatives
a portrait of my sister ruined my friend .,NS,Affirmatives
a portrait of my sister betrayed him .,NS,Affirmatives
a portrait of my sister betrayed john .,NS,Affirmatives
a portrait of my sister betrayed my friend .,NS,Affirmatives
a portrait of my sister looked at him .,NS,Affirmatives
a portrait of my sister looked at john .,NS,Affirmatives
a portrait of my sister looked at my friend .,NS,Affirmatives
a friend with her scared him .,NS,Affirmatives
a friend with her scared john .,NS,Affirmatives
a friend with her scared my friend .,NS,Affirmatives
a friend with her endangered him .,NS,Affirmatives
a friend with her endangered john .,NS,Affirmatives
a friend with her endangered my friend .,NS,Affirmatives
a friend with her ruined him .,NS,Affirmatives
a friend with her ruined john .,NS,Affirmatives
a friend with her ruined my friend .,NS,Affirmatives
a friend with her betrayed him .,NS,Affirmatives
a friend with her betrayed john .,NS,Affirmatives
a friend with her betrayed my friend .,NS,Affirmatives
a friend with her looked at him .,NS,Affirmatives
a friend with her looked at john .,NS,Affirmatives
a friend with her looked at my friend .,NS,Affirmatives
a friend with mary scared him .,NS,Affirmatives
a friend with mary scared john .,NS,Affirmatives
a friend with mary scared my friend .,NS,Affirmatives
a friend with mary endangered him .,NS,Affirmatives
a friend with mary endangered john .,NS,Affirmatives
a friend with mary endangered my friend .,NS,Affirmatives
a friend with mary ruined him .,NS,Affirmatives
a friend with mary ruined john .,NS,Affirmatives
a friend with mary ruined my friend .,NS,Affirmatives
a friend with mary betrayed him .,NS,Affirmatives
a friend with mary betrayed john .,NS,Affirmatives
a friend with mary betrayed my friend .,NS,Affirmatives
a friend with mary looked at him .,NS,Affirmatives
a friend with mary looked at john .,NS,Affirmatives
a friend with mary looked at my friend .,NS,Affirmatives
a friend with my sister scared him .,NS,Affirmatives
a friend with my sister scared john .,NS,Affirmatives
a friend with my sister scared my friend .,NS,Affirmatives
a friend with my sister endangered him .,NS,Affirmatives
a friend with my sister endangered john .,NS,Affirmatives
a friend with my sister endangered my friend .,NS,Affirmatives
a friend with my sister ruined him .,NS,Affirmatives
a friend with my sister ruined john .,NS,Affirmatives
a friend with my sister ruined my friend .,NS,Affirmatives
a friend with my sister betrayed him .,NS,Affirmatives
a friend with my sister betrayed john .,NS,Affirmatives
a friend with my sister betrayed my friend .,NS,Affirmatives
a friend with my sister looked at him .,NS,Affirmatives
a friend with my sister looked at john .,NS,Affirmatives
a friend with my sister looked at my friend .,NS,Affirmatives
who was a classmate of seen by him ?,NSp,Wh-interrogatives
who was a classmate of seen by john ?,NSp,Wh-interrogatives
who was a classmate of seen by my friend ?,NSp,Wh-interrogatives
who was a classmate of spotted by him ?,NSp,Wh-interrogatives
who was a classmate of spotted by john ?,NSp,Wh-interrogatives
who was a classmate of spotted by my friend ?,NSp,Wh-interrogatives
who was a classmate of endangered by him ?,NSp,Wh-interrogatives
who was a classmate of endangered by john ?,NSp,Wh-interrogatives
who was a classmate of endangered by my friend ?,NSp,Wh-interrogatives
who was a classmate of ruined by him ?,NSp,Wh-interrogatives
who was a classmate of ruined by john ?,NSp,Wh-interrogatives
who was a classmate of ruined by my friend ?,NSp,Wh-interrogatives
who was a classmate of looked at by him ?,NSp,Wh-interrogatives
who was a classmate of looked at by john ?,NSp,Wh-interrogatives
who was a classmate of looked at by my friend ?,NSp,Wh-interrogatives
who was the sister of seen by him ?,NSp,Wh-interrogatives
who was the sister of seen by john ?,NSp,Wh-interrogatives
who was the sister of seen by my friend ?,NSp,Wh-interrogatives
who was the sister of spotted by him ?,NSp,Wh-interrogatives
who was the sister of spotted by john ?,NSp,Wh-interrogatives
who was the sister of spotted by my friend ?,NSp,Wh-interrogatives
who was the sister of endangered by him ?,NSp,Wh-interrogatives
who was the sister of endangered by john ?,NSp,Wh-interrogatives
who was the sister of endangered by my friend ?,NSp,Wh-interrogatives
who was the sister of ruined by him ?,NSp,Wh-interrogatives
who was the sister of ruined by john ?,NSp,Wh-interrogatives
who was the sister of ruined by my friend ?,NSp,Wh-interrogatives
who was the sister of looked at by him ?,NSp,Wh-interrogatives
who was the sister of looked at by john ?,NSp,Wh-interrogatives
who was the sister of looked at by my friend ?,NSp,Wh-interrogatives
who was a portrait of seen by him ?,NSp,Wh-interrogatives
who was a portrait of seen by john ?,NSp,Wh-interrogatives
who was a portrait of seen by my friend ?,NSp,Wh-interrogatives
who was a portrait of spotted by him ?,NSp,Wh-interrogatives
who was a portrait of spotted by john ?,NSp,Wh-interrogatives
who was a portrait of spotted by my friend ?,NSp,Wh-interrogatives
who was a portrait of endangered by him ?,NSp,Wh-interrogatives
who was a portrait of endangered by john ?,NSp,Wh-interrogatives
who was a portrait of endangered by my friend ?,NSp,Wh-interrogatives
who was a portrait of ruined by him ?,NSp,Wh-interrogatives
who was a portrait of ruined by john ?,NSp,Wh-interrogatives
who was a portrait of ruined by my friend ?,NSp,Wh-interrogatives
who was a portrait of looked at by him ?,NSp,Wh-interrogatives
who was a portrait of looked at by john ?,NSp,Wh-interrogatives
who was a portrait of looked at by my friend ?,NSp,Wh-interrogatives
who was a friend of seen by him ?,NSp,Wh-interrogatives
who was a friend of seen by john ?,NSp,Wh-interrogatives
who was a friend of seen by my friend ?,NSp,Wh-interrogatives
who was a friend of spotted by him ?,NSp,Wh-interrogatives
who was a friend of spotted by john ?,NSp,Wh-interrogatives
who was a friend of spotted by my friend ?,NSp,Wh-interrogatives
who was a friend of endangered by him ?,NSp,Wh-interrogatives
who was a friend of endangered by john ?,NSp,Wh-interrogatives
who was a friend of endangered by my friend ?,NSp,Wh-interrogatives
who was a friend of ruined by him ?,NSp,Wh-interrogatives
who was a friend of ruined by john ?,NSp,Wh-interrogatives
who was a friend of ruined by my friend ?,NSp,Wh-interrogatives
who was a friend of looked at by him ?,NSp,Wh-interrogatives
who was a friend of looked at by john ?,NSp,Wh-interrogatives
who was a friend of looked at by my friend ?,NSp,Wh-interrogatives
which girl was a classmate of seen by him ?,NSp,Wh-interrogatives
which girl was a classmate of seen by john ?,NSp,Wh-interrogatives
which girl was a classmate of seen by my friend ?,NSp,Wh-interrogatives
which girl was a classmate of spotted by him ?,NSp,Wh-interrogatives
which girl was a classmate of spotted by john ?,NSp,Wh-interrogatives
which girl was a classmate of spotted by my friend ?,NSp,Wh-interrogatives
which girl was a classmate of endangered by him ?,NSp,Wh-interrogatives
which girl was a classmate of endangered by john ?,NSp,Wh-interrogatives
which girl was a classmate of endangered by my friend ?,NSp,Wh-interrogatives
which girl was a classmate of ruined by him ?,NSp,Wh-interrogatives
which girl was a classmate of ruined by john ?,NSp,Wh-interrogatives
which girl was a classmate of ruined by my friend ?,NSp,Wh-interrogatives
which girl was a classmate of looked at by him ?,NSp,Wh-interrogatives
which girl was a classmate of looked at by john ?,NSp,Wh-interrogatives
which girl was a classmate of looked at by my friend ?,NSp,Wh-interrogatives
which girl was the sister of seen by him ?,NSp,Wh-interrogatives
which girl was the sister of seen by john ?,NSp,Wh-interrogatives
which girl was the sister of seen by my friend ?,NSp,Wh-interrogatives
which girl was the sister of spotted by him ?,NSp,Wh-interrogatives
which girl was the sister of spotted by john ?,NSp,Wh-interrogatives
which girl was the sister of spotted by my friend ?,NSp,Wh-interrogatives
which girl was the sister of endangered by him ?,NSp,Wh-interrogatives
which girl was the sister of endangered by john ?,NSp,Wh-interrogatives
which girl was the sister of endangered by my friend ?,NSp,Wh-interrogatives
which girl was the sister of ruined by him ?,NSp,Wh-interrogatives
which girl was the sister of ruined by john ?,NSp,Wh-interrogatives
which girl was the sister of ruined by my friend ?,NSp,Wh-interrogatives
which girl was the sister of looked at by him ?,NSp,Wh-interrogatives
which girl was the sister of looked at by john ?,NSp,Wh-interrogatives
which girl was the sister of looked at by my friend ?,NSp,Wh-interrogatives
which girl was a portrait of seen by him ?,NSp,Wh-interrogatives
which girl was a portrait of seen by john ?,NSp,Wh-interrogatives
which girl was a portrait of seen by my friend ?,NSp,Wh-interrogatives
which girl was a portrait of spotted by him ?,NSp,Wh-interrogatives
which girl was a portrait of spotted by john ?,NSp,Wh-interrogatives
which girl was a portrait of spotted by my friend ?,NSp,Wh-interrogatives
which girl was a portrait of endangered by him ?,NSp,Wh-interrogatives
which girl was a portrait of endangered by john ?,NSp,Wh-interrogatives
which girl was a portrait of endangered by my friend ?,NSp,Wh-interrogatives
which girl was a portrait of ruined by him ?,NSp,Wh-interrogatives
which girl was a portrait of ruined by john ?,NSp,Wh-interrogatives
which girl was a portrait of ruined by my friend ?,NSp,Wh-interrogatives
which girl was a portrait of looked at by him ?,NSp,Wh-interrogatives
which girl was a portrait of looked at by john ?,NSp,Wh-interrogatives
which girl was a portrait of looked at by my friend ?,NSp,Wh-interrogatives
which girl was a friend of seen by him ?,NSp,Wh-interrogatives
which girl was a friend of seen by john ?,NSp,Wh-interrogatives
which girl was a friend of seen by my friend ?,NSp,Wh-interrogatives
which girl was a friend of spotted by him ?,NSp,Wh-interrogatives
which girl was a friend of spotted by john ?,NSp,Wh-interrogatives
which girl was a friend of spotted by my friend ?,NSp,Wh-interrogatives
which girl was a friend of endangered by him ?,NSp,Wh-interrogatives
which girl was a friend of endangered by john ?,NSp,Wh-interrogatives
which girl was a friend of endangered by my friend ?,NSp,Wh-interrogatives
which girl was a friend of ruined by him ?,NSp,Wh-interrogatives
which girl was a friend of ruined by john ?,NSp,Wh-interrogatives
which girl was a friend of ruined by my friend ?,NSp,Wh-interrogatives
which girl was a friend of looked at by him ?,NSp,Wh-interrogatives
which girl was a friend of looked at by john ?,NSp,Wh-interrogatives
which girl was a friend of looked at by my friend ?,NSp,Wh-interrogatives
was a classmate of her seen by him ?,NSp,Y/N-interrogatives
was a classmate of her seen by john ?,NSp,Y/N-interrogatives
was a classmate of her seen by my friend ?,NSp,Y/N-interrogatives
was a classmate of her spotted by him ?,NSp,Y/N-interrogatives
was a classmate of her spotted by john ?,NSp,Y/N-interrogatives
was a classmate of her spotted by my friend ?,NSp,Y/N-interrogatives
was a classmate of her endangered by him ?,NSp,Y/N-interrogatives
was a classmate of her endangered by john ?,NSp,Y/N-interrogatives
was a classmate of her endangered by my friend ?,NSp,Y/N-interrogatives
was a classmate of her ruined by him ?,NSp,Y/N-interrogatives
was a classmate of her ruined by john ?,NSp,Y/N-interrogatives
was a classmate of her ruined by my friend ?,NSp,Y/N-interrogatives
was a classmate of her look at by him ?,NSp,Y/N-interrogatives
was a classmate of her look at by john ?,NSp,Y/N-interrogatives
was a classmate of her look at by my friend ?,NSp,Y/N-interrogatives
was a classmate of mary seen by him ?,NSp,Y/N-interrogatives
was a classmate of mary seen by john ?,NSp,Y/N-interrogatives
was a classmate of mary seen by my friend ?,NSp,Y/N-interrogatives
was a classmate of mary spotted by him ?,NSp,Y/N-interrogatives
was a classmate of mary spotted by john ?,NSp,Y/N-interrogatives
was a classmate of mary spotted by my friend ?,NSp,Y/N-interrogatives
was a classmate of mary endangered by him ?,NSp,Y/N-interrogatives
was a classmate of mary endangered by john ?,NSp,Y/N-interrogatives
was a classmate of mary endangered by my friend ?,NSp,Y/N-interrogatives
was a classmate of mary ruined by him ?,NSp,Y/N-interrogatives
was a classmate of mary ruined by john ?,NSp,Y/N-interrogatives
was a classmate of mary ruined by my friend ?,NSp,Y/N-interrogatives
was a classmate of mary look at by him ?,NSp,Y/N-interrogatives
was a classmate of mary look at by john ?,NSp,Y/N-interrogatives
was a classmate of mary look at by my friend ?,NSp,Y/N-interrogatives
was a classmate of my sister seen by him ?,NSp,Y/N-interrogatives
was a classmate of my sister seen by john ?,NSp,Y/N-interrogatives
was a classmate of my sister seen by my friend ?,NSp,Y/N-interrogatives
was a classmate of my sister spotted by him ?,NSp,Y/N-interrogatives
was a classmate of my sister spotted by john ?,NSp,Y/N-interrogatives
was a classmate of my sister spotted by my friend ?,NSp,Y/N-interrogatives
was a classmate of my sister endangered by him ?,NSp,Y/N-interrogatives
was a classmate of my sister endangered by john ?,NSp,Y/N-interrogatives
was a classmate of my sister endangered by my friend ?,NSp,Y/N-interrogatives
was a classmate of my sister ruined by him ?,NSp,Y/N-interrogatives
was a classmate of my sister ruined by john ?,NSp,Y/N-interrogatives
was a classmate of my sister ruined by my friend ?,NSp,Y/N-interrogatives
was a classmate of my sister look at by him ?,NSp,Y/N-interrogatives
was a classmate of my sister look at by john ?,NSp,Y/N-interrogatives
was a classmate of my sister look at by my friend ?,NSp,Y/N-interrogatives
was the sister of her seen by him ?,NSp,Y/N-interrogatives
was the sister of her seen by john ?,NSp,Y/N-interrogatives
was the sister of her seen by my friend ?,NSp,Y/N-interrogatives
was the sister of her spotted by him ?,NSp,Y/N-interrogatives
was the sister of her spotted by john ?,NSp,Y/N-interrogatives
was the sister of her spotted by my friend ?,NSp,Y/N-interrogatives
was the sister of her endangered by him ?,NSp,Y/N-interrogatives
was the sister of her endangered by john ?,NSp,Y/N-interrogatives
was the sister of her endangered by my friend ?,NSp,Y/N-interrogatives
was the sister of her ruined by him ?,NSp,Y/N-interrogatives
was the sister of her ruined by john ?,NSp,Y/N-interrogatives
was the sister of her ruined by my friend ?,NSp,Y/N-interrogatives
was the sister of her look at by him ?,NSp,Y/N-interrogatives
was the sister of her look at by john ?,NSp,Y/N-interrogatives
was the sister of her look at by my friend ?,NSp,Y/N-interrogatives
was the sister of mary seen by him ?,NSp,Y/N-interrogatives
was the sister of mary seen by john ?,NSp,Y/N-interrogatives
was the sister of mary seen by my friend ?,NSp,Y/N-interrogatives
was the sister of mary spotted by him ?,NSp,Y/N-interrogatives
was the sister of mary spotted by john ?,NSp,Y/N-interrogatives
was the sister of mary spotted by my friend ?,NSp,Y/N-interrogatives
was the sister of mary endangered by him ?,NSp,Y/N-interrogatives
was the sister of mary endangered by john ?,NSp,Y/N-interrogatives
was the sister of mary endangered by my friend ?,NSp,Y/N-interrogatives
was the sister of mary ruined by him ?,NSp,Y/N-interrogatives
was the sister of mary ruined by john ?,NSp,Y/N-interrogatives
was the sister of mary ruined by my friend ?,NSp,Y/N-interrogatives
was the sister of mary look at by him ?,NSp,Y/N-interrogatives
was the sister of mary look at by john ?,NSp,Y/N-interrogatives
was the sister of mary look at by my friend ?,NSp,Y/N-interrogatives
was the sister of my sister seen by him ?,NSp,Y/N-interrogatives
was the sister of my sister seen by john ?,NSp,Y/N-interrogatives
was the sister of my sister seen by my friend ?,NSp,Y/N-interrogatives
was the sister of my sister spotted by him ?,NSp,Y/N-interrogatives
was the sister of my sister spotted by john ?,NSp,Y/N-interrogatives
was the sister of my sister spotted by my friend ?,NSp,Y/N-interrogatives
was the sister of my sister endangered by him ?,NSp,Y/N-interrogatives
was the sister of my sister endangered by john ?,NSp,Y/N-interrogatives
was the sister of my sister endangered by my friend ?,NSp,Y/N-interrogatives
was the sister of my sister ruined by him ?,NSp,Y/N-interrogatives
was the sister of my sister ruined by john ?,NSp,Y/N-interrogatives
was the sister of my sister ruined by my friend ?,NSp,Y/N-interrogatives
was the sister of my sister look at by him ?,NSp,Y/N-interrogatives
was the sister of my sister look at by john ?,NSp,Y/N-interrogatives
was the sister of my sister look at by my friend ?,NSp,Y/N-interrogatives
was a portrait of her seen by him ?,NSp,Y/N-interrogatives
was a portrait of her seen by john ?,NSp,Y/N-interrogatives
was a portrait of her seen by my friend ?,NSp,Y/N-interrogatives
was a portrait of her spotted by him ?,NSp,Y/N-interrogatives
was a portrait of her spotted by john ?,NSp,Y/N-interrogatives
was a portrait of her spotted by my friend ?,NSp,Y/N-interrogatives
was a portrait of her endangered by him ?,NSp,Y/N-interrogatives
was a portrait of her endangered by john ?,NSp,Y/N-interrogatives
was a portrait of her endangered by my friend ?,NSp,Y/N-interrogatives
was a portrait of her ruined by him ?,NSp,Y/N-interrogatives
was a portrait of her ruined by john ?,NSp,Y/N-interrogatives
was a portrait of her ruined by my friend ?,NSp,Y/N-interrogatives
was a portrait of her look at by him ?,NSp,Y/N-interrogatives
was a portrait of her look at by john ?,NSp,Y/N-interrogatives
was a portrait of her look at by my friend ?,NSp,Y/N-interrogatives
was a portrait of mary seen by him ?,NSp,Y/N-interrogatives
was a portrait of mary seen by john ?,NSp,Y/N-interrogatives
was a portrait of mary seen by my friend ?,NSp,Y/N-interrogatives
was a portrait of mary spotted by him ?,NSp,Y/N-interrogatives
was a portrait of mary spotted by john ?,NSp,Y/N-interrogatives
was a portrait of mary spotted by my friend ?,NSp,Y/N-interrogatives
was a portrait of mary endangered by him ?,NSp,Y/N-interrogatives
was a portrait of mary endangered by john ?,NSp,Y/N-interrogatives
was a portrait of mary endangered by my friend ?,NSp,Y/N-interrogatives
was a portrait of mary ruined by him ?,NSp,Y/N-interrogatives
was a portrait of mary ruined by john ?,NSp,Y/N-interrogatives
was a portrait of mary ruined by my friend ?,NSp,Y/N-interrogatives
was a portrait of mary look at by him ?,NSp,Y/N-interrogatives
was a portrait of mary look at by john ?,NSp,Y/N-interrogatives
was a portrait of mary look at by my friend ?,NSp,Y/N-interrogatives
was a portrait of my sister seen by him ?,NSp,Y/N-interrogatives
was a portrait of my sister seen by john ?,NSp,Y/N-interrogatives
was a portrait of my sister seen by my friend ?,NSp,Y/N-interrogatives
was a portrait of my sister spotted by him ?,NSp,Y/N-interrogatives
was a portrait of my sister spotted by john ?,NSp,Y/N-interrogatives
was a portrait of my sister spotted by my friend ?,NSp,Y/N-interrogatives
was a portrait of my sister endangered by him ?,NSp,Y/N-interrogatives
was a portrait of my sister endangered by john ?,NSp,Y/N-interrogatives
was a portrait of my sister endangered by my friend ?,NSp,Y/N-interrogatives
was a portrait of my sister ruined by him ?,NSp,Y/N-interrogatives
was a portrait of my sister ruined by john ?,NSp,Y/N-interrogatives
was a portrait of my sister ruined by my friend ?,NSp,Y/N-interrogatives
was a portrait of my sister look at by him ?,NSp,Y/N-interrogatives
was a portrait of my sister look at by john ?,NSp,Y/N-interrogatives
was a portrait of my sister look at by my friend ?,NSp,Y/N-interrogatives
was a friend of her seen by him ?,NSp,Y/N-interrogatives
was a friend of her seen by john ?,NSp,Y/N-interrogatives
was a friend of her seen by my friend ?,NSp,Y/N-interrogatives
was a friend of her spotted by him ?,NSp,Y/N-interrogatives
was a friend of her spotted by john ?,NSp,Y/N-interrogatives
was a friend of her spotted by my friend ?,NSp,Y/N-interrogatives
was a friend of her endangered by him ?,NSp,Y/N-interrogatives
was a friend of her endangered by john ?,NSp,Y/N-interrogatives
was a friend of her endangered by my friend ?,NSp,Y/N-interrogatives
was a friend of her ruined by him ?,NSp,Y/N-interrogatives
was a friend of her ruined by john ?,NSp,Y/N-interrogatives
was a friend of her ruined by my friend ?,NSp,Y/N-interrogatives
was a friend of her look at by him ?,NSp,Y/N-interrogatives
was a friend of her look at by john ?,NSp,Y/N-interrogatives
was a friend of her look at by my friend ?,NSp,Y/N-interrogatives
was a friend of mary seen by him ?,NSp,Y/N-interrogatives
was a friend of mary seen by john ?,NSp,Y/N-interrogatives
was a friend of mary seen by my friend ?,NSp,Y/N-interrogatives
was a friend of mary spotted by him ?,NSp,Y/N-interrogatives
was a friend of mary spotted by john ?,NSp,Y/N-interrogatives
was a friend of mary spotted by my friend ?,NSp,Y/N-interrogatives
was a friend of mary endangered by him ?,NSp,Y/N-interrogatives
was a friend of mary endangered by john ?,NSp,Y/N-interrogatives
was a friend of mary endangered by my friend ?,NSp,Y/N-interrogatives
was a friend of mary ruined by him ?,NSp,Y/N-interrogatives
was a friend of mary ruined by john ?,NSp,Y/N-interrogatives
was a friend of mary ruined by my friend ?,NSp,Y/N-interrogatives
was a friend of mary look at by him ?,NSp,Y/N-interrogatives
was a friend of mary look at by john ?,NSp,Y/N-interrogatives
was a friend of mary look at by my friend ?,NSp,Y/N-interrogatives
was a friend of my sister seen by him ?,NSp,Y/N-interrogatives
was a friend of my sister seen by john ?,NSp,Y/N-interrogatives
was a friend of my sister seen by my friend ?,NSp,Y/N-interrogatives
was a friend of my sister spotted by him ?,NSp,Y/N-interrogatives
was a friend of my sister spotted by john ?,NSp,Y/N-interrogatives
was a friend of my sister spotted by my friend ?,NSp,Y/N-interrogatives
was a friend of my sister endangered by him ?,NSp,Y/N-interrogatives
was a friend of my sister endangered by john ?,NSp,Y/N-interrogatives
was a friend of my sister endangered by my friend ?,NSp,Y/N-interrogatives
was a friend of my sister ruined by him ?,NSp,Y/N-interrogatives
was a friend of my sister ruined by john ?,NSp,Y/N-interrogatives
was a friend of my sister ruined by my friend ?,NSp,Y/N-interrogatives
was a friend of my sister look at by him ?,NSp,Y/N-interrogatives
was a friend of my sister look at by john ?,NSp,Y/N-interrogatives
was a friend of my sister look at by my friend ?,NSp,Y/N-interrogatives
a classmate of her was seen by him .,NSp,Affirmatives
a classmate of her was seen by john .,NSp,Affirmatives
a classmate of her was seen by my friend .,NSp,Affirmatives
a classmate of her was spotted by him .,NSp,Affirmatives
a classmate of her was spotted by john .,NSp,Affirmatives
a classmate of her was spotted by my friend .,NSp,Affirmatives
a classmate of her was endangered by him .,NSp,Affirmatives
a classmate of her was endangered by john .,NSp,Affirmatives
a classmate of her was endangered by my friend .,NSp,Affirmatives
a classmate of her was ruined by him .,NSp,Affirmatives
a classmate of her was ruined by john .,NSp,Affirmatives
a classmate of her was ruined by my friend .,NSp,Affirmatives
a classmate of her was looked at by him .,NSp,Affirmatives
a classmate of her was looked at by john .,NSp,Affirmatives
a classmate of her was looked at by my friend .,NSp,Affirmatives
a classmate of mary was seen by him .,NSp,Affirmatives
a classmate of mary was seen by john .,NSp,Affirmatives
a classmate of mary was seen by my friend .,NSp,Affirmatives
a classmate of mary was spotted by him .,NSp,Affirmatives
a classmate of mary was spotted by john .,NSp,Affirmatives
a classmate of mary was spotted by my friend .,NSp,Affirmatives
a classmate of mary was endangered by him .,NSp,Affirmatives
a classmate of mary was endangered by john .,NSp,Affirmatives
a classmate of mary was endangered by my friend .,NSp,Affirmatives
a classmate of mary was ruined by him .,NSp,Affirmatives
a classmate of mary was ruined by john .,NSp,Affirmatives
a classmate of mary was ruined by my friend .,NSp,Affirmatives
